"segID" "uniqueID" "xcen" "ycen" "xmax" "ymax" "RAcen" "Deccen" "RAmax" "Decmax" "sep" "flux" "mag" "flux_app" "mag_app" "cenfrac" "N50" "N90" "N100" "R50" "R90" "R100" "SB_N50" "SB_N90" "SB_N100" "xsd" "ysd" "covxy" "corxy" "con" "asymm" "flux_reflect" "mag_reflect" "semimaj" "semimin" "axrat" "ang" "signif" "FPlim" "flux_err" "mag_err" "flux_err_sky" "flux_err_skyRMS" "flux_err_shot" "flux_err_cor" "cor_seg" "sky_mean" "sky_sum" "skyRMS_mean" "Nedge" "Nsky" "Nobject" "Nborder" "Nmask" "edge_frac" "edge_excess" "flag_border" "iter" "origfrac" "Norig" "skyseg_mean" "flag_keep"
"11" 11 199037 198.577884959693 36.2384602497642 198.5 36.5 352.289104504604 -31.835647606218 352.289113138078 -31.8356229780512 0.0925098031282483 3748.19968674518 21.065443199916 648.015955757585 22.9710357514803 0.0279533701695012 30.4796942130274 106.741919905266 329 1.14616244414531 2.14490655347284 3.76564018726007 23.1790431086633 23.9016728566646 25.0094313502833 3.61517997046989 3.403274541228 1.87522271988452 0.152414381874468 0.534364745303031 NA NA NA 3.79822588734313 3.22365484978989 0.848726470042794 124.184536710798 36.4042260729193 2.7948802084401 158.318333036509 0.0458598688491856 8.61833234622856 158.083582079319 0 0 0 0.00679579924645768 2.23581795208458 8.71541355209789 NA NA NA NA NA NA NA NA 2 0.852622688101131 107 1.15153388406919 TRUE
"12" 12 11270 10.0245968393967 269.467998765916 10.5 269.5 352.309999537558 -31.8136838340881 352.309946855296 -31.8136808282722 0.1615263770052 4389.08455875466 20.8940651302259 649.754987533051 22.9681259454013 0.026235657989553 33.2435877522962 97.6169934513823 217 1.13775972075194 1.949661987855 2.90687580815743 23.1019082450397 23.6332708308704 24.3862128703396 2.79958417309629 2.94167957099181 -0.322329650204595 -0.0391391475740364 0.583567678828109 NA NA NA 2.97469237384984 2.79446277155402 0.939412356087577 19.1580787266843 Inf 2.92682261314265 136.689256481751 0.0338130816522285 8.81959647540588 136.404426451435 0 0 0 0.393663168161803 85.4249074911113 9.25973390204852 NA NA NA NA NA NA NA NA 1 0.936014922694717 117 1.67051627933979 TRUE
"13" 13 342038 339.190881886379 38.2431894919565 341.5 37.5 352.273518846304 -31.8354575928149 352.273262887942 -31.8355275403491 0.822335787339036 5248.21611123036 20.6999707246763 568.429084414061 23.1133092723339 0.0171814285538961 48.7921585895185 138.164203853664 302 1.63982035951298 2.75942775118098 4.07966713279332 23.324419199185 23.8163517036281 24.5509864875615 4.41198359816451 2.98066534962064 -1.63358935763384 -0.124221219159862 0.594261023435448 NA NA NA 4.44920155608265 2.95317411783551 0.663753727631899 81.4204126848506 Inf 2.82245086685978 158.254640457872 0.0327392754174925 53.4323599842815 148.961451835569 0 0 0 -1.14162466888036 -344.770650001869 8.57166544707002 NA NA NA NA NA NA NA NA 1 0.93009908305976 171 0.0620313145987251 TRUE
"14" 14 23196 22.3099364221345 196.083851399024 22.5 195.5 352.308639428466 -31.820594364276 352.30861837528 -31.8206493464423 0.208148923461449 3334.69450472501 21.19235986538 548.229289893543 23.152594413512 0.0297742051277359 31.9820857548418 96.4116967962862 313 1.15720960833127 2.00920154004406 3.62018536200757 23.3582002186173 23.9180763129939 25.0822191147385 3.55343847526884 3.50549444705824 1.67538439988274 0.134498172488609 0.575954967815667 NA NA NA 3.77159777902574 3.29501641409041 0.873639398245049 132.116290964242 30.8365113893569 2.81095941550453 157.079956694377 0.0511433343543977 14.2770048152907 156.429792330654 0 0 0 0.301812017216856 94.4671613888758 8.84184617614094 NA NA NA NA NA NA NA NA 2 0.859263894871402 101 1.20304179085947 TRUE
"15" 15 165108 166.121790432027 109.36448385867 164.5 107.5 352.292701878896 -31.8287615879386 352.29288162922 -31.8289371582604 0.837714462881437 6515.75916786372 20.4650874405899 600.160322616329 23.0543317993455 0.0146370527442199 61.4901869541973 180.826196679975 316 1.78646691404528 3.06353428155879 4.04981898451071 23.3406753689212 23.8736329421659 24.3653035526283 4.51303946639042 4.10278880563838 6.02835057902593 0.325574368971909 0.583139194752634 NA NA NA 4.99655955627131 3.52157073896053 0.704799112129168 126.830253130374 Inf 2.8078888128159 155.553941786059 0.0259203175008286 15.6295955074879 154.766742388192 0 0 0 -0.601461162232778 -190.061727265558 8.70630320993366 NA NA NA NA NA NA NA NA 1 0.881236780338492 182 4.86031755399073 TRUE
"16" 16 247350 247.675155322845 350.271490197202 246.5 349.5 352.283665001335 -31.8060759494198 352.283795209084 -31.8061486059196 0.476555753718632 2447.00493197492 21.5284128883008 431.27155568726 23.4131229614948 0.0311056655379622 27.3079204964187 73.0765042965521 160 1.02594228173108 1.67829188936206 2.48335384412249 23.5227078574222 23.9532494306267 24.689711250433 2.69356447861026 2.57926180256804 0.210553563039592 0.0303067797191475 0.611301459676993 NA NA NA 2.72119336243948 2.58256740296024 0.949056924291864 107.471061535189 23.6351813838476 3.0203372417498 117.349904369719 0.0520681581529456 11.4246464165311 116.792454849786 0 0 0 -0.349011478874265 -55.8418366198825 9.23323644486929 NA NA NA NA NA NA NA NA 1 0.93020699320604 84 -1.11334417942094 TRUE
"17" 17 30030 33.2572033889013 29.796819487985 29.5 29.5 352.307428931067 -31.8362532156813 352.307845391194 -31.8362811134229 1.27766028343897 4114.06116902971 20.964323138449 423.431274449987 23.4330426708255 0.0177619090623127 53.1453858644972 146.659265814088 299 1.73021813756134 2.87423869132185 4.10396522566225 23.6815604446393 24.145489036739 24.8044995147525 4.90849964453162 3.18024796474278 -0.119560160101036 -0.00765908237876963 0.60197440900972 NA NA NA 4.91708496631248 3.19316269107626 0.64940156880611 89.5100198378112 27.4539608000738 2.82565061775351 155.759635086449 0.0411063103111705 16.7088698825361 154.860832974358 0 0 0 0.770825711650415 230.476887783474 8.95577422444011 NA NA NA NA NA NA NA NA 1 0.889366998187935 164 1.31278677196912 TRUE
"18" 18 90261 89.1836251658208 261.073978383182 89.5 260.5 352.301227637135 -31.8144752429576 352.301192583559 -31.8145292952626 0.222179313675762 2839.89126275442 21.3667457210882 387.784816987801 23.5285229973458 0.0224925751776635 35.9045963359079 93.9897359361284 321 1.17944454930046 1.9082827222363 3.52659038941205 23.6581942368762 24.0648389266175 25.2840067075928 3.81807142170915 3.61540165848651 -0.264295052946349 -0.0191464575441168 0.618065937272792 NA NA NA 3.83484329641469 3.6206963536594 0.944157576671908 80.3329428357806 21.2832617919177 2.80282923742464 166.083304398663 0.063496324298205 13.1515805116556 165.561770738369 0 0 0 -0.189193367922077 -60.7310711029867 9.24075570813684 NA NA NA NA NA NA NA NA 2 0.841239552228794 97 -1.58494025739041 TRUE
"19" 19 271329 269.205407361383 326.061332490714 270.5 328.5 352.281279078481 -31.8083555717231 352.281135652484 -31.8081259190829 0.935975790504374 4754.94781689026 20.8071356121482 389.5940344303 23.523469254444 0.013712118791485 68.9292148992121 180.43007948871 552 1.67739103124317 2.71385800602334 4.74681372567805 23.8067173366178 24.2133000951697 25.3129817119635 5.2077268987694 5.17563940142501 -2.94781560521201 -0.109367453983852 0.618083564991332 NA NA NA 5.47628374562657 4.90761099346062 0.896157179105246 46.6172406860075 22.7803027389833 2.62319181861188 225.688781582278 0.0515333691573263 63.6308752861681 216.532994812359 0 0 0 -0.794222781644811 -438.410975467936 9.21623628644329 NA NA NA NA NA NA NA NA 3 0.746000674466756 154 -0.966993586842422 TRUE
"20" 21 79319 76.6280608647325 317.745174026045 78.5 318.5 352.302618344211 -31.8091385918319 352.302410907595 -31.8090675303516 0.684235878142029 2454.70532594269 21.5250015877712 364.627130548706 23.5953775506039 0.0240094846764157 30.1462168956184 81.6719458436064 177 1.18771406276669 1.95493328170139 2.87794256226832 23.6266570311228 24.070575976736 24.7959331591681 2.97392214788497 2.83959875208599 2.02338131500252 0.239602399653819 0.607547108581126 NA NA NA 3.25542761351655 2.54487558196525 0.781733118991471 129.539022997251 22.0658907871422 2.98962427881641 119.427510057384 0.0528237626500529 6.87115480302642 119.22968334345 0 0 0 -0.347510477308107 -61.5093544835349 8.96177231980095 NA NA NA NA NA NA NA NA 1 0.85307389908718 84 0.238680075357358 TRUE
